Asset,Quote,Provider,Deploy,Whitelist,Class,pyth,base,quote,feedId,maxStaleness,maxConfWidth
ENA,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x57e114B691Db790C35207b2e685D4A43181e6061,0x0000000000000000000000000000000000000348,0xb7910ba7322db020416fcac28b48c01212fd9cc8fbcbaf7d30477ed8605f6bd4,120,300
ENJ,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x5cc254b7cb9532df39952aee2a6d5497b42ec2d2330c7b76147f695138dbd9f3,120,300
ENS,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,0x0000000000000000000000000000000000000348,0xb98ab6023650bd2edc026b983fb7c2f8fa1020286f1ba6ecf3f4322cd83b72a6,120,300
EOS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x06ade621dbc31ed0fc9255caaab984a468abe84164fb2ccc76f02a4636d97e31,120,300
ERN,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xbbc2ae13b23d715c30720f079fcd9b4a74093505,0x0000000000000000000000000000000000000348,0xd0798c1e23efe9eb484de00a342948080343971d08a7b5725b12cb54fc5a89c7,120,300
ETC,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x7f5cc8d963fc5b3d2ae41fe5685ada89fd4f14b435f8050f28c7fd409f40c2d8,120,300
ETH,BTC,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,,0xc96458d393fe9deb7a7d63a0ac41e2898a67a7750dbd166673279e06c868df0a,120,300
ETH,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000000000000000000000000000000348,0xff61491a931112ddf1bd8147cd1b641375f79f5825126d665480874634fd0ace,120,300
ETHFI,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xFe0c30065B384F05761f15d0CC899D4F9F9Cc0eB,0x0000000000000000000000000000000000000348,0xb27578a9654246cb0a2950842b92330e9ace141c52b63829cc72d5c45a5a595a,120,300
EURC,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,0x0000000000000000000000000000000000000348,0x76fa85158bf14ede77087fe3ae472f66213f6ea2f5b411cb2de472794990fa5c,120,300
EVMOS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xc19405e4c8bdcbf2a66c37ae05a27d385c8309e9d648ed20dc6ee717e7d30e17,120,300
EZETH,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xbf5495efe5db9ce00f80364c8b423567e58d2110,0x0000000000000000000000000000000000000348,0x06c217a791f5c4f988b36629af4cb88fad827b2485400a358f3b02886b54de92,120,300
FDUSD,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,0x0000000000000000000000000000000000000348,0xccdc1a08923e2e4f4b1e6ea89de6acbc5fe1948e9706f5604b8cb50bc1ed3979,120,300
FIDA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xc80657b7f6f3eac27218d09d5a4e54e47b25768d9f5e10ac15fe2cf900881400,120,300
FIL,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x150ac9b959aee0051e4091f0ef5216d941f590e1c5e7f91cf7635b5c11628c0e,120,300
FLOKI,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,0x0000000000000000000000000000000000000348,0x6b1381ce7e874dc5410b197ac8348162c0dd6c0d4c9cd6322672d6c2b1d58293,120,300
FLOW,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x5c147e74D63B1D31AA3Fd78Eb229B65161983B2b,0x0000000000000000000000000000000000000348,0x2fb245b9a84554a0f15aa123cbb5f64cd263b59e9a87d80148cbffab50c69f30,120,300
FRAX,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x853d955acef822db058eb8505911ed77f175b99e,0x0000000000000000000000000000000000000348,0xc3d5d8d6d17081b3d0bbca6e2fa3a6704bb9a9561d9f9e1dc52db47629f862ad,120,300
FRXETH,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x5E8422345238F34275888049021821E8E08CAa1f,0x0000000000000000000000000000000000000348,0x29240ee3a9024d107888eb1d4c527216f06bd64cee030c6b5575b1a8d77cb659,120,300
FTM,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x853d955acef822db058eb8505911ed77f175b99e,0x0000000000000000000000000000000000000348,0x5c6c0d2386e3352356c3ab84434fafb5ea067ac2678a38a338c4a69ddc4bdb0c,120,300
FTT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x6c75e52531ec5fd3ef253f6062956a8508a2f03fa0a209fb7fbc51efd9d35f88,120,300
FXS,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x0000000000000000000000000000000000000348,0x735f591e4fed988cd38df74d8fcedecf2fe8d9111664e0fd500db9aa78b316b1,120,300
GAL,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x5fAa989Af96Af85384b8a938c2EdE4A7378D9875,0x0000000000000000000000000000000000000348,0x301377b122716cee1a498e7930a1836c0b1db84667cc78bbbcbad6c330ea6afb,120,300
GALA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xd1d2Eb1B1e90B638588728b4130137D262C87cae,0x0000000000000000000000000000000000000348,0x0781209c28fda797616212b7f94d77af3a01f3e94a5d421760aef020cf2bcb51,120,300
GHO,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x0000000000000000000000000000000000000348,0x2a0e948f637a8c251d9f06055e72eb4b3880dd57848bbdb02993c8165d7df4ee,120,300
GLMR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x309d39a65343d45824f63dc6caa75dbf864834f48cfaa6deb122c62239e06474,120,300
GMT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xbaa284eaf23edf975b371ba2818772f93dbae72836bbdea28b07d40f3cf8b485,120,300
GMX,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xb962539d0fcb272a494d65ea56f94851c2bcf8823935da05bd628916e2e9edbf,120,300
GNO,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x6810e776880c02933d47db1b9fc05908e5386b96,0x0000000000000000000000000000000000000348,0xc5f60d00d926ee369ded32a38a6bd5c1e0faa936f91b987a5d0dcf3c5d8afab0,120,300
GNS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x5a5d5f7fb72cc84b579d74d1c06d258d751962e9a010c0b1cce7e6023aacb71b,120,300
GOFX,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x6034b1f68b9363dff2cf9d53b1a88fb4d0929c65f34d532db53738853efc00ad,120,300
GRAIL,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x48f3736d94693aa73c11214c4176ba7f997a8329f4dbc3854c4b2686861132ce,120,300
GRT,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0x0000000000000000000000000000000000000348,0x4d1f8dae0d96236fb98e8f47471a366ec3b1732b47041781934ca3a9bb2f35e7,120,300
GT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xe66747a101bff2dba3697199dcce5b743b454759,0x0000000000000000000000000000000000000348,0x051ee6cdd581106d0291dfd9b0ee13e6b4dde8fb251afd262c2ba5444257daa8,120,300
GUSD,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,0x0000000000000000000000000000000000000348,0xe186e116f2c7642d0d8aa89c32345d83ebeb350242b2274c46a19ea82e04fb8d,120,300
HASUI,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x6120ffcf96395c70aa77e72dcb900bf9d40dccab228efca59a17b90ce423d5e8,120,300
HBAR,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x3728e591097635310e6341af53db8b7ee42da9b3a8d918f9463ce9cca886dfbd,120,300
HFT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xfa2d39b681f3cef5fa87432a8dbd05113917fffb1b6829a37395c88396522a4e,120,300
HNT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x649fdd7ec08e8e2a20f425729854e90293dcbe2376abc47197a14da6ff339756,120,300
HT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x38e91ba416e6010735d7580472784a3e0821ab559aacdf73f5aba9d661e687ab,120,300
ICP,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xc9907d786c5821547777780a1e4f89484f3417cb14dd244f2b0a34ea7a554d67,120,300
IDEX,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x6fdf9f1b31f6212aad9125dbc9d85ae6cfac3939fd914f6a8c397f01272eca8f,120,300
ILV,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0x0000000000000000000000000000000000000348,0xe1cb28de6139b40cf03e15f42a89921c0650fb1c75cabfc94877830c28de30cb,120,300
IMX,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,0x0000000000000000000000000000000000000348,0x941320a8989414874de5aa2fc340a75d5ed91fdff1613dd55f83844d52ea63a2,120,300
INF,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xf51570985c642c49c2d6e50156390fdba80bb6d5f7fa389d2f012ced4f7d208f,120,300
INJ,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xe28b3b32b6c345a34ff64674606124dd5aceca30,0x0000000000000000000000000000000000000348,0x7a5bc1d2b56ad029048cd63964b3ad2776eadf812edc1a43a31406cb54bff592,120,300
INTER,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xa4702f0f5818258783a1e47f453cb20b0fbec32ca67260e1d19dfcdd6a4d0ebb,120,300
IO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x82595d1509b770fa52681e260af4dda9752b87316d7c048535d8ead3fa856eb1,120,300
IOT,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x6b701e292e0836d18a5904a08fe94534f9ab5c3d4ff37dc02c74dd0f4901944d,120,300
IOTA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xc7b72e5d860034288c9335d4d325da4272fe50c92ab72249d58f6cbba30e4c44,120,300
IOTX,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,0x0000000000000000000000000000000000000348,0xa83103141916013b5679001e273281303a6c05f4cebd94da00a785bd74d1e6d8,120,300
ITA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xa5eb88d3ea93f6240d7e54b4466bc1857f7bfc1658d49a07f68096ebc0fdde3b,120,300
JITOSOL,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x67be9f519b95cf24338801051f9a808eff0a578ccb388db73b7f6fe1de019ffb,120,300
JOE,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07,0x0000000000000000000000000000000000000348,0xa3f37baf54dbd24e1d67040d566a762e62be3edbf8ef423038b091afc1722915,120,300
JTO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xb43660a5f790c69354b0729a5ef9d50d68f1df92107540210b9cccba1f947cc2,120,300
JUP,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x0a0408d619e9380abad35060f9192039ed5042fa6f82301d0e48bb52be830996,120,300
JUV,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xabe4f2b264560a397f38eec024369356e5c1ea4f7aab94729369f144b3d97779,120,300
KAS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x112b08621e27e10773ec95d250604a041f36c582,0x0000000000000000000000000000000000000348,0xdfd3cb51a9d39fde35a3ff6177b426def03ed48d45008248f22827d8bf50cab4,120,300
KAVA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xa6e905d4e85ab66046def2ef0ce66a7ea2a60871e68ae54aed50ec2fd96d8584,120,300
KCS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,0x0000000000000000000000000000000000000348,0xc8acad81438490d4ebcac23b3e93f31cdbcb893fcba746ea1c66b89684faae2f,120,300
KLAY,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xde5e6ef09931fecc7fdd8aaa97844e981f3e7bb1c86a6ffc68e9166bb0db3743,120,300
KMNO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xb17e5bc5de742a8a378b54c9c75442b7d51e30ada63f28d9bd28d3c0e26511a0,120,300
KNC,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,0x0000000000000000000000000000000000000348,0xb9ccc817bfeded3926af791f09f76c5ffbc9b789cac6e9699ec333a79cacbe2a,120,300
KSM,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xdedebc9e4d916d10b76cfbc21ccaacaf622ab1fc7f7ba586a0de0eba76f12f3f,120,300
LDO,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0x0000000000000000000000000000000000000348,0xc63e2a7f37a04e5e614c07238bedb25dcc38927fba8fe890597a593c0b2fa4ad,120,300
LEO,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x19e4e2b451406cf99311bb5127b12a948db17f30b69c323c8657d71119a58619,120,300
LINK,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x514910771af9ca656af840dff83e8264ecf986ca,0x0000000000000000000000000000000000000348,0x8ac0c70fff57e9aefdf5edf44b51d62c2d433653cbb2cf5cc06bb115af04d221,120,300
LIS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x9279583bcedabec7a42625093fc9a7b6466b62b839cadae469b4b75a72f49723,120,300
LL,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x0921799CB1d702148131024d18fCdE022129Dc73,0x0000000000000000000000000000000000000348,0x2805c8894235111024c54253267f2b325be23763d534d2051742e39234b5835a,120,300
LOOKS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xf4d2888d29d722226fafa5d9b24f9164c092421e,0x0000000000000000000000000000000000000348,0xacecdd9ac741a1f6dad0fd6ade5354e9523bd0c864b955307cea3643fdfe8ff5,120,300
LQTY,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,0x0000000000000000000000000000000000000348,0x5e8b35b0da37ede980d8f4ddaa7988af73d8c3d110e3eddd2a56977beb839b63,120,300
LRC,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0x0000000000000000000000000000000000000348,0x20311405c2fc648cf5733197e95c03512af9cf64f2260aea7e212a8c8b7bdcfa,120,300
LST,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x12fb674ee496045b1d9cf7d5e65379acb026133c2ad69f3ed996fb9fe68e3a37,120,300
LTC,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x6e3f3fa8253588df9326580180233eb791e03b443a3ba7a1d892e73874e19a54,120,300
LUNA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xe6ccd3f878cf338e6732bf59f60943e8ca2c28402fc4d9c258503b2edbe74a31,120,300
LUNC,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x4456d442a152fd1f972b18459263ef467d3c29fb9d667e30c463b086691fbc79,120,300
LUSD,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,0x0000000000000000000000000000000000000348,0xc9dc99720306ef43fd301396a6f8522c8be89c6c77e8c27d87966918a943fd20,120,300
MANA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0x0000000000000000000000000000000000000348,0x1dfffdcbc958d732750f53ff7f06d24bb01364b3f62abea511a390c74b8d16a5,120,300
MANTA,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0xc3883bcf1101c111e9fcfe2465703c47f2b638e21fef2cce0502e6c8f416e0e2,120,300
MASK,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,0x0000000000000000000000000000000000000348,0xb97d9aa5c9ea258252456963c3a9547d53e4848cb66ce342a3155520741a28d4,120,300
MATIC,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x0000000000000000000000000000000000000348,0x5de33a9112c2b700b8d30b8a3402c103578ccfa2765696471cc672bd5cf6ac52,120,300
MAV,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x7448c7456a97769F6cD04F1E83A4a23cCdC46aBD,0x0000000000000000000000000000000000000348,0x5b131ede5d017511cf5280b9ebf20708af299266a033752b64180c4201363b11,120,300
MBOX,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x1888f463c27997174f97d2a36af29bf4648b61a5f69e67c45505a80f826bb785,120,300
MEME,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0x0000000000000000000000000000000000000348,0xcd2cee36951a571e035db0dfad138e6ecdb06b517cc3373cd7db5d3609b7927c,120,300
MERL,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x03e8dbf3e8f02edf5ca898dc7afbbac3f06c7d91c02986c3a8c6ce1a99e90355,120,300
METH,USD,Pyth,Yes,Yes,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,0x0000000000000000000000000000000000000348,0xfbc9c3a716650b6e24ab22ab85b1c0ef4141b18f4590cc0b986e2f9064cf73d6,120,300
METIS,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0x0000000000000000000000000000000000000348,0xc22aa7943f65c9b1bb8d765bf4d5136590c48508f61912314f23bb730325b159,120,300
MEW,USD,Pyth,No,No,PythOracle,0x4305FB66699C3B2702D4d05CF36551390A4c69C6,,0x0000000000000000000000000000000000000348,0x514aed52ca5294177f20187ae883cec4a018619772ddce41efcc36a6448f5d5d,120,300
