Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,rateProvider
rETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xae78736Cd615f374D3085123A210448E74Fc6393,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1a8F81c256aee9C640e14bB0453ce247ea0DFE6F
ezETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x387dBc0fB00b26fb085aa658527D5BE98302c84C
rsETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x746df66bc1Bb361b9E8E2a794C299c3427976e6C
osETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8023518b2192FB5384DAdc596765B3dD1cdFe471
weETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee
rswETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0
agETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xe1B4d34E8754600962Cd944B535180Bd758E6c2e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC276db339E551eCbe0ac323a7c4A5c6ca61813Fe
ETHx,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xAAE054B9b822554dd1D9d1F48f892B4585D3bbf0
amphrETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0x5fD13359Ba15A84B76f7F87568309040176167cd,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3A2228C7B3Bc3A32AEa9338d0A890A5EbD7bc977
rstETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0x7a4EffD87C2f3C55CA251080b1343b605f327E3a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x6984F8E8ce474B69A2F32bE7dEc4d003d644B4B7
Re7LRT,ETH,Rate Provider,No,No,RateProviderOracle,0x84631c0d0081FDe56DeB72F6DE77abBbF6A9f93a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9D09c1E832102A23215e27E85B37b139aEe95Ff4
steakLRT,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xBEEF69Ac7870777598A04B2bd4771c71212E6aBc,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x20EDB9299Ae83D9f22bE16279a4A2B422F34d020
pufETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xD9A442856C234a39a81a089C06451EBAa4306a72,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x71f80e2CfAFA5EC2F0bF12f71FA7Ea57c3D0c7Af
uniETH,ETH,Rate Provider,No,No,RateProviderOracle,0xF1376bceF0f78459C0Ed0ba5ddce976F1ddF51F4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2c3b8c5e98A6e89AAAF21Deebf5FF9d08c4A9FF7
ynETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0x09db87A538BD693E9d08544577d5cCfAA6373A48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF0207Ffa0b793E009DF9Df62fEE95B8FC6c93EcF
cbETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7311E4BB8a72e7B300c5B8BDE4de6CdaA822a5b1
swETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xf951E335afb289353dc249e82926178EaC7DEd78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf951E335afb289353dc249e82926178EaC7DEd78
sfrxETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xac3E018457B222d93114458476f3E3416Abbe38F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x302013E7936a39c358d07A3Df55dc94EC417E3a1
sdeUSD,USD,Rate Provider,No,No,RateProviderOracle,0x5c5b196abe0d54485975d1ec29617d42d9198326,0x0000000000000000000000000000000000000348,0x414aB7081D3C2d0BA75703A465744DF99c9f9B22
sFRAX,USD,Rate Provider,No,No,RateProviderOracle,0xA663B02CF0a4b149d2aD41910CB81e23e1c41c32,0x0000000000000000000000000000000000000348,0x033E20068Db853Fa6C077F38faa4670423FC55fF
eBTC,BTC,Rate Provider,Yes,Yes,RateProviderOracle,0x657e8C867D8B37dCC18fA4Caead9C45EB088C642,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x81Be3526A71D9013A1a5bD38758e0f248231b523